RANKING,OWNERNAME,OWNERID,CHAMPIONSHIPTYPE,LEADINGEARNERHORSE,TOTALOWNERCHAMPIONSHIPWINS,TOTALOWNERCHAMPIONSHIPSRUNS,TOTALOWNERPRIZEMONEYWON
212,"Foxtrot Racing: Ultimate Getaway",1103266,JUMP,"Ultimate Getaway (IRE)",1,2,11750.08
213,"Mr Paul G. Jacobs",548590,JUMP,"Manofthemountain (IRE)",0,3,11747.10
214,"Donald McCain Racing Club",1109422,JUMP,"Bird On The Wire (FR)",1,10,11694.67
215,"Miss E. J. Tanner",620190,JUMP,"Admiral's Sunset (GB)",1,7,11606.12
217,"Beautiful People",1080951,JUMP,"Organdi (FR)",1,4,11556.50
218,"Cambridge Racing and Mr John Craggs",1122645,JUMP,"Miss Amelia (GB)",1,3,11520.70
219,"The Dunnitalls & Partner",1117323,JUMP,"Thahab Ifraj (IRE)",1,5,11449.66
220,"Mr Phil Simmonds",1108264,JUMP,"Cremant (IRE)",1,6,11420.94
221,"Stephanie Kaye and M.T Hughes",1163109,JUMP,"Marajman (FR)",1,4,11407.92
222,"Hot To Trot Jumping",1136832,JUMP,"Last of A Legend (GB)",1,6,11383.58
223,"Mezzone Family 1",1101998,JUMP,"Sofia's Rock (FR)",2,4,11357.04
224,"The Sea Prince Racing Partnership",1012478,JUMP,"Sea Prince (GB)",1,5,11353.66
225,"Mr Dan Gilbert",985310,JUMP,"Punxsutawney Phil (IRE)",1,5,11341.83
227,"Mr Edward Cassie",963131,JUMP,"Dolly Dancer (IRE)",1,10,11276.74
228,"Mr O. S. Harris",1087615,JUMP,"Planned Paradise (IRE)",1,5,11271.52
229,"The Unlikely Lads",1165145,JUMP,"Eglantine du Seuil (FR)",1,5,11141.70
230,"Somerset Racing",992071,JUMP,"Do Ya Feel Lucky (IRE)",1,8,11129.01
231,"New Vision Bloodstock",1113828,JUMP,"Kings Creek (IRE)",1,6,11093.80
232,"Ms G. E. Morgan",806531,JUMP,"Midnight Jewel (GB)",2,4,11023.03
233,"Blythe Stables LLP",1079449,JUMP,"Begoodtoyourself (IRE)",1,7,11021.20
234,"BG Racing Partnership",1002482,JUMP,"Dynamic Kate (IRE)",2,5,10991.72
235,"Mr E. R. Hanbury",564178,JUMP,"Percussion (GB)",1,5,10978.98
236,"Mr L. Gilbert",555459,JUMP,"Belle Jour (IRE)",1,10,10946.16
237,"Mrs P. Bunch",1088976,JUMP,"The Turtle Said (GB)",2,3,10923.06
238,"Mr Dennis J. Coppola & Mrs Dianne Sayer",1120188,JUMP,"Idilico (FR)",1,4,10884.87
239,"You Can Be Sure",754655,JUMP,"Butler's Brief (IRE)",1,4,10798.74
240,"Mrs T. P. James",754199,JUMP,"Pounding Poet (IRE)",1,5,10796.04
241,"Mr David Brace",552843,JUMP,"Gats And Co (GB)",1,15,10781.95
242,"Mr and Mrs R. H. F. Fuller",953763,JUMP,"Our Three Sons (IRE)",2,6,10724.27
243,"Mrs Jill Eynon & Mr Robin Eynon",723984,JUMP,"Dhowin (IRE)",1,3,10668.56
244,"DL Adams, JA Adams & G McPherson",1132959,JUMP,"Sammylou (IRE)",1,6,10666.04
245,"Mr Colin Moore",787561,JUMP,"Daranova (IRE)",2,4,10663.90
246,"Lawson Statham & Warren",1107595,JUMP,"Aye Aye Charlie (GB)",1,5,10629.36
247,"Sam England Racing Club",1123709,JUMP,"Going Mobile (IRE)",2,6,10545.06
248,"Miss Sarah A. Dawson",866723,JUMP,"Gold Leader (GB)",2,8,10517.57
249,"Mr Michael P. Tudor",1108535,JUMP,"Jubilee Gold (IRE)",1,4,10415.72
250,"Mr I. J. Keeling",533509,JUMP,"Rich Belief (GB)",1,1,10406.00
251,"Mr Liam Murray",1110698,JUMP,"Good Bye (GER)",1,5,10397.74
252,"Miss Rebecca Dennis",1132228,JUMP,"Raddle And Hum (IRE)",1,6,10351.34
253,"The Shinton Family",1092232,JUMP,"Turpin Gold (GB)",1,4,10335.92
255,"Fawley House Stud",930160,JUMP,"Goaheadwiththeplan (IRE)",1,6,10303.13
256,"POPLAR COTTAGE RACING CLUB",1175008,JUMP,"Prime Time Lady (GB)",2,3,10301.65
257,"HOE RACING",1155212,JUMP,"Jubilympics (GB)",1,10,10300.83
258,"Quicksilver Racing Partnership",1069595,JUMP,"Nazwa (IRE)",2,4,10256.32
260,"Mrs K Young & Mr P.D Niven",1153910,JUMP,"Misty Mani (GB)",3,3,10235.97
261,"Farm Fencing Limited",1141662,JUMP,"Thibault (GB)",1,2,10213.38
262,"BAA Management Ltd",1081880,JUMP,"Bbold (IRE)",1,3,10187.40
265,"Walters Plant Hire Ltd Egan Waste Ltd",952926,JUMP,"Paddys Motorbike (IRE)",1,1,10075.10
266,"Options O Syndicate",1014188,JUMP,"Gowel Road (IRE)",0,3,10036.28
267,"Weldspec Glasgow Limited",828830,JUMP,"Highway Companion (IRE)",1,2,10017.84
268,"GDM Partnership",955378,JUMP,"San Giovanni (IRE)",2,3,10000.75
269,"Mr P. Loftus",1039679,JUMP,"Ince (AUT)",1,10,9995.01
270,"Apple Tree Stud",1086568,JUMP,"Lunar Shadow (GB)",2,4,9966.18
271,"Mr M. Barnes",526451,JUMP,"Deerfoot (GB)",0,22,9952.98
272,"Ms Caroline Ahearn",1060926,JUMP,"Streets of Doyen (IRE)",0,4,9944.88
273,"Mr W. J. Evans",554211,JUMP,"Balkardy (FR)",1,3,9944.19
274,"Girsonfield & Castle View Racing",1169448,JUMP,"Avoid de Master (IRE)",2,2,9911.72
275,"Robert & Lucy Dickinson",1092999,JUMP,"Greystoke (GB)",1,4,9903.60
276,"The Vikings",1125286,JUMP,"Lucky Flight (FR)",1,2,9894.44
277,"Frost Racing Club",1073017,JUMP,"Treacys Jim (IRE)",0,13,9885.82
278,"Mr Bart Ryan-Beswick",1106279,JUMP,"Copper Fox (GB)",1,5,9848.29
279,"Mr Gareth Cheshire",504222,JUMP,"Alioski (GB)",1,3,9842.00
280,"Mr Will Roseff",549182,JUMP,"Henri Le Bon (IRE)",0,6,9840.39
282,Raypasha,1104042,JUMP,"Balkotic (FR)",2,5,9806.45
283,"Miss Julie Hoskins",972709,JUMP,"Forgot To Ask (IRE)",1,2,9745.84
284,"Mr John Hobbs",992026,JUMP,"Glajou (FR)",1,7,9739.84
285,"The Stagger Inn",1155915,JUMP,"Fire Away (IRE)",1,5,9732.20
286,JAB,1088831,JUMP,"Kihavah (GB)",0,1,9720.00
287,"The Oldcastle Racing Syndicate",1170910,JUMP,"Faro (FR)",1,7,9640.54
288,"Mrs N. Sheppard",705226,JUMP,"Samos Island (IRE)",2,7,9630.90
289,"Readers & Wiggy, The 8 Amigos & J Burns",1149855,JUMP,"Giovanni Change (FR)",1,5,9620.96
290,"The General Asphalte Company Ltd",1052137,JUMP,"Une de La Seniere (FR)",0,6,9589.87
291,"Charles And Rachel Wilson",905909,JUMP,"Dazzling Glory (IRE)",1,4,9567.28
292,"Ms Jennie Candlish",770869,JUMP,"For Jim (IRE)",1,7,9440.80
293,"The Shinton Family 1",1144238,JUMP,"See The Sea (IRE)",1,3,9418.72
294,"The Gredley Family",1083631,JUMP,"Exciting News (GB)",1,3,9393.60
295,"Ayrshire Racing & Partner",1078695,JUMP,"Pammi (GB)",2,3,9390.36
296,"Mr Toby Cole",806794,JUMP,"Red Maple (IRE)",2,6,9339.72
297,"Dr C. A. Barnett",773208,JUMP,"Flying Verse (GB)",0,6,9322.47
298,"Mr B. Lapham",1095912,JUMP,"Glan Y Gors (IRE)",1,7,9282.90
299,"Miss Rebecca Curtis",733052,JUMP,"Boston Joe (IRE)",2,6,9260.94
300,"Mr John Lane",1122309,JUMP,"Shentri (FR)",1,4,9238.84
301,"Neil Mulholland Racing Ltd",1018443,JUMP,"Belle Na Bann (IRE)",2,10,9216.52
302,"Whitcombe Racing Club",1173468,JUMP,"Maroochi (GB)",1,6,9214.38
303,"BCC Racing Partnership",1161583,JUMP,"Blue Collar Glory (IRE)",1,5,9207.78
304,"D G Pryde & D Van Der Hoeven",1112469,JUMP,"Joke Dancer (GB)",1,2,9200.56
305,"Mrs Shauna Kelly",1130434,JUMP,"Redwood Queen (IRE)",1,12,9188.53
306,"Mr Ian Slatter",1051652,JUMP,"Zucayan (FR)",1,6,9187.74
307,"Jim and Claire Limited",1130378,JUMP,"High Stakes (IRE)",1,13,9135.58
308,"Charles Dingwall & Alan King",1143953,JUMP,"Grisbi de Berce (FR)",1,3,9123.88
309,"Mrs S. Smith",563862,JUMP,"Kauto d'Amour (FR)",0,23,9075.83
310,"Cheshire Bloodstock Racing",1160447,JUMP,"Bob's Bar (IRE)",1,5,9050.38
311,"Swanland Partnership",1149505,JUMP,"Belvedere Blast (IRE)",1,5,9046.12
312,"Mr D. I. Bare",537010,JUMP,"Kentford Mallard (GB)",1,7,9015.50
313,"Alan King & Niall Farrell",1055051,JUMP,"Rafiki (FR)",1,4,9014.14
314,"Mr Jim Ennis",545009,JUMP,"Bon Retour (IRE)",2,4,9009.14
315,"Mr Bill Hawkins",787617,JUMP,"Craan Run (IRE)",2,7,9003.80
316,"The Lucky Lovers Partnership",1140481,JUMP,"Lucky Lover Boy (IRE)",1,6,8999.43
317,"Mr E. G. Tunstall",753939,JUMP,"Calliope (GB)",1,13,8983.32
318,"Mead Vale, Sam Quigley & Gerry Flanagan",1170979,JUMP,"Yaazaain (GB)",1,7,8979.12
319,"Don Sebastiao Partnership",824691,JUMP,"No No Maestro (IRE)",1,4,8969.95
320,"Having A Mare & Michael Scudamore",1160124,JUMP,"Czech Her Out (IRE)",1,10,8950.74
321,"Dave Scott & The Fallen Angels",1078403,JUMP,"Ingleby Hollow (GB)",0,4,8934.00
322,"The Queen",532893,JUMP,"Steal A March (GB)",1,5,8916.08
324,"Brocade Racing",975465,JUMP,"L'Air du Vent (FR)",0,8,8854.69
325,"Shaw Racing & Graeme McPherson",1144842,JUMP,"Getthepot (IRE)",1,5,8846.23
326,"Mr David Maxwell",772225,JUMP,"Ecu de La Noverie (FR)",1,10,8841.51
327,"Owners Group 040",1143572,JUMP,"Calva d'Auge (FR)",0,2,8831.68
328,"Mr Simon Munir/Mr Isaac Souede",1071514,JUMP,"I Love My Baie (FR)",1,10,8791.24
329,"Racing On Together Club",1175681,JUMP,"Captain Ivan (IRE)",0,6,8767.08
330,"Hill House Racing Club",1161810,JUMP,"Pateen (IRE)",1,12,8764.56
332,"Mr and Mrs J. D. Cotton",768873,JUMP,"Sail Away (FR)",1,2,8703.18
333,"Mrs Pip Waugh",923435,JUMP,"Loughermore (IRE)",1,4,8697.29
334,"Mr Dave Harris",726709,JUMP,"Masterdream (FR)",2,4,8669.99
335,"Mr Chris Nash",533188,JUMP,"Sheila Nash (IRE)",2,4,8668.66
